Title,Director,Cast,Year,Language,url,Producer,Genre,production,music,ref
Care of Footpath,Master Kishan,"Master Kishan, Jackie Shroff, Tara, B. Jayashree",2006,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_2006,,Drama,,Ravi Dattatreya,
Madana,Jai Jagadish,"Auditya, Samiksha, Saaniya, Ramesh Bhat",2006,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_2006,,Romance / Thriller,,Yuvan Shankar Raja,
Tenali Rama,Nagendra Magadi,"Jaggesh, Ramesh Aravind, Deepu, Rangayana Raghu, Srinath",2006,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_2006,,Comedy,,R. P. Patnaik,
Nage Habba,Adarsha,"Adarsha, Sunaina, Sadhu Kokila",2006,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_2006,,Comedy,,Adarsha,
Kallarali Hoovagi,T. S. Nagabharana,"Vijay Raghavendra, Uma, Ananth Nag, Bharathi Vishnuvardhan, Sumalatha",2006,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_2006,,Drama,,Hamsalekha,
Neelakanta,Om Sai Prakash,"V. Ravichandran, Namitha, Sridevika, Sadhu Kokila, Vijay Kashi, Sujatha",2006,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_2006,,Romance,,V. Ravichandran,
Mungaru Male,Yogaraj Bhat,"Ganesh, Pooja Gandhi, Ananth Nag, Diganth",2006,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_2006,,Romance,,Mano Murthy,
A Aa E Ee,N. R. Nanjunde Gowda,"Ramesh Aravind, Prema",2006,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_2006,,Drama,,V. Manohar,
Geeya Geeya,Krishna Reddy,"Naveen Krishna, Swarnamalya",2006,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_2006,,Romance,,Bhavatharini,
Koti Chennaya,Anand P. Raju,"Balakrishna, Shekar Kotyan",2006,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_2006,,Drama,,V. Manohar,
Sixer,Shashank,"Prajwal Devaraj, Devaki",2007,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_2007,,,,Hamsalekha,
Hosavarsha,Vijay Roshan,"Naveen Mayur, Arathi Puri, Shobhraj, Shikka, Devan",2007,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_2007,,,,Sangeetha Raja,
Ee Rajeev Gandhi Alla,Ravi Srivatsa,"Vijay Raghavendra, Rakshitha",2007,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_2007,,,,Sadhu Kokila,
Thayiya Madilu,S. Narayan,"Shivarajkumar, Rakshita",2007,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_2007,,,,S. A. Rajkumar,
Naayi Neralu,Girish Kasaravalli,"Pavithra Lokesh, Ananya Kasaravalli",2007,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_2007,,,,Isaac Thomas Kottukapally,
Sneha Parva,G. K. Mudduraj,"Paartha, Sowmya, Chetan, Doddanna, Master Anand",2007,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_2007,,,,Lio,
Arasu,Mahesh Babu,"Puneet Rajkumar, Ramya, Meera Jasmine",2007,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_2007,,,,Joshua Sridhar,
Poojari,Sharan Kumar Kabbur,"Adhi Lokesh, Neethu",2007,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_2007,,,,Abhiman Roy,
Vidyarthi,T Nagachandra,"P Tarun Sudhir, Avinash, Tara",2007,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_2007,,,,R P Patnaik,
Thangiya Mane,M. S. Srinivasa,"Vijay, Swathi, Dharma",2007,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_2007,,,,K. Raju Upendrakumar,
Police Story 2,Thriller Manju,"Saikumar, Rockline Venkatesh, Shobhraj",2007,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_2007,,,,R. P. Patnaik,
Bhoopathi,S. Govindu,"Darshan, Sherin",2007,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_2007,,,,V. Harikrishna,
SMS 6260,Sundeep Malani,"Diganth, Jaanu",2007,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_2007,,,,"Michael Dayao, Lokesh – Prakash, Dr. Ravi E. Dattatreya",
Duniya,Soori,"Duniya Vijay, Rashmi, Rangayana Raghu",2007,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_2007,,,,V. Manohar,
Sajni,Murugesh,"Dhyan, Sharmila Mandre, Ananth Nag",2007,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_2007,,,,A. R. Rahman,
Parodi,Sai Prakash,"Upendra, Neha Pendse, Umashree",2007,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_2007,,,,Rajesh Ramanath,
VIP 5,"B. S. Rajashekar, B. S. Yashodhara","Vinod Prabhakar, Mohan",2007,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_2007,,,,Rajesh Ramnath,
Sri Dhanamma Devi,Chindodi Bangaresh,"Shivadwaj, Anu Prabhakar",2007,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_2007,,,,Hamsalekha,
Ekadantha,Sachin,"Vishnuvardhan, Ramesh Aravind, Gurukiran, Prema, Umashree",2007,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_2007,,,,Gurukiran,
Ondhu Preethiya Kathe,Rajashekar Rao K.,"Yagna Shetty, Shankar Aryan, Narayana Swamy",2007,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_2007,,,,Gandharva,
Rakshaka,Mandya Nagaraj,Saikumar,2007,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_2007,,,,K. V. Ravichandra,
Preethigaagi,S. Mahendar,"Srimurali, Sridevi Vijaykumar",2007,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_2007,,,,S.A. Rajkumar,
Shri Kshetra Kaivara Thathaiah,Pallaki,"Saikumar, Tara",2007,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_2007,,,,Hamsalekha,
Thimma,Sai Sagar,"Arjun, B. Saroja Devi, Prashanti Naik",2007,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_2007,,,,Venkat - Narayan,
E Preethi Onthara,Tenemane Subramanyam,"Sachin Suverna, Maanya, Mithun Tejasvi",2007,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_2007,,,,Shameer,
Lancha Samrajya,Boodal Krishnamurthy,"Master Hirannaiah, C. R. Simha, Umashree, Ramesh Bhat",2007,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_2007,,,,Raju Upendra Kumar,
Banamathi,Jayasimha Musuri,Devaraj,2007,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_2007,,,,,
Soundarya,E. Chennagangappa,"Ramesh Aravind, Rahul Dev, Sakshi Shivanand, Baby Shreya",2007,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_2007,,,,Hamsalekha,
Bhaktha,Sri Ram,"Agnni, Sindhu",2007,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_2007,,,,Abhiman Roy,
Dadagiri,Joe Simon,"Sri Krishna, Avinash, Shobhraj, B. C. Patil",2007,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_2007,,,,Abhiman Roy,
Janapada,Baraguru Ramachandrappa,"Raghava, Radhika, Nandini",2007,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_2007,,,,Hamsalekha,
Bhugatha,B. R. Keshav,"Vivek Bidu, Nagendra Urs, Daksha, Kangana, Harish Rai",2007,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_2007,,,,M S Maruthi,
Masti,Shivamani,"Upendra, Jennifer Kotwal, Shashikumar, Umashree",2007,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_2007,,,,Gurukiran,
Pallakki,Narendra Babu K.,"Prem, Gurukiran, Ramnitu Chaudhary",2007,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_2007,,,,Gurukiran,
Masanada Makkalu,C. Lakshmana,"Dattanna, Ohilesh",2007,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_2007,,,,R Damodhar,
Govinda Gopaala,C. H. Balaji Singh,"Jaggesh, Komal Kumar, Neethu",2007,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_2007,,,,Rajbharath,
Dushman,B. S. Bagalkote,Shobhraj,2007,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_2007,,,,,
Amrutha Vaani,B. R. Rajashekar,"Ajay Rao, Naveen Krishna, Radhika",2007,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_2007,,,,M. P. Naidu,
Santha,S. Murali Mohan,"Shivarajkumar, Aarti Chhabria",2007,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_2007,,,,Gurukiran,
Kshana Kshana,Sunil Kumar Desai,"Vishnuvardhan, Auditya, Prema, Kiran Rathod",2007,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_2007,,,,R. P. Patnaik,
Hudugaata,Sanjay K.,"Ganesh, Rekha",2007,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_2007,,,,Jassie Gift,
"No 73, Shanthi Nivasa",Sudeep,"Sudeep, Deepu, Anu Prabhakar",2007,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_2007,,,,Bharadwaj,
Jambada Hudugi,Priya Hassan,"Jai Akash, Priya Hassan",2007,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_2007,,,,Rajesh Ramanath,
Cheluvina Chittara,S. Narayan,"Ganesh, Amoolya, Komal Kumar",2007,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_2007,,,,Mano Murthy,
Sathyavan Savithri,Ramesh Aravind,"Ramesh Aravind, Jennifer Kotwal, Daisy Bopanna, Aniruddh",2007,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_2007,,,,Guru Kiran,
Kaada Beladingalu,B. S. Lingadevaru,"C. H. Lokanath, H. G. Dattatreya, Ananya Kasaravalli",2007,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_2007,,,,Rajesh Ramanath,
Bombugalu Saar Bombugalu,B. Shankar,"Adarsh, Sunayana, B. C. Patil, Shobhraj",2007,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_2007,,,,M. S. Maruthi,
Ugadi,Om Sai Prakash,"V. Ravichandran, Jennifer Kotwal, Kamna Jethmalani, Srikanth",2007,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_2007,,,,R. P. Patnaik,
Thamashegagi,Kodlu Ramakrishna,"Aniruddh, Rekha, Komal Kumar",2007,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_2007,,,,R. P. Patnaik,
Snehana Preethina,Sahuji Shinde,"Darshan, Auditya, Lakshmi Rai, Sindhu Tolani",2007,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_2007,,,,V. Harikrishna,
Meera Madhava Raghava,T. N. Seetharam,"Diganth, Ramya, Thilak, Harini",2007,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_2007,,,,Hamsalekha,
Manmatha,N. Rajesh Fernandis,"Jaggesh, Komal Kumar, Gurleen Chopra",2007,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_2007,,,,Vijaya Bharathi,
Savi Savi Nenapu,Santosh Rai Pathaje,"Prem Kumar, Mallika Kapoor, Tejaswini Prakash",2007,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_2007,,,,R. P. Patnaik,
Maathaad Maathaadu Mallige,Nagathihalli Chandrashekar,"Vishnuvardhan, Suhasini, Sudeep, Tara",2007,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_2007,,,,Mano Murthy,
Gandana Mane,S. Mahendar,"Shivarajkumar, Gowri Munjal",2007,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_2007,,,,V. Manohar,
Ninade Nenapu,Madan Patel,"Mayur Patel, Maya",2007,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_2007,,,,Mahesh Patel,
Nali Naliyutha,Jayanth,"Aniruddh, Vidisha, Ananth Nag",2007,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_2007,,,,Rajesh Ramanath,
Jeevana Dhaare,Muraju Boodhigere,Siddarth,2007,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_2007,,,,Raju Upendra Kumar,
Milana,Prakash,"Puneeth Rajkumar, Parvathi Menon, Pooja Gandhi",2007,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_2007,,,,Mano Murthy,
Prarambha,Santosh Sivan,"Prabhu Deva, Skandha, B. Saroja Devi",2007,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_2007,,,,,
Anatharu,Sadhu Kokila,"Upendra, Darshan, Radhika, Sanghavi",2007,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_2007,,,,Sadhu Kokila,
Road Romeo,Om Sai Prakash,"Dilip Pai, Ashita, Avinash",2007,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_2007,,,,K. M. Indra,
Guna,Nag,"Venkatesh, Avinash, Kishore, Seema",2007,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_2007,,,,Vijay Anand,
Agrahaara,Akshaya,"Arya, Neetashri, Kishore",2007,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_2007,,,,Rajesh Ramanath,
Krishna,M. D. Sridhar,"Ganesh, Pooja Gandhi, Sharmila Mandre",2007,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_2007,,,,V. Harikrishna,
Dheemantha Manushya,Tarani,Gopal Shetty Koragal,2007,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_2007,,,,A Karthikraj,
Circle Rowdy,B. Ramamurthy,"Vinod Prabhakar, Varini, Umashree",2007,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_2007,,,,,
Shukra,G. K. Mudduraj,Vinod Raj,2007,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_2007,,,,Mallikarjuna,
Geleya,Harsha,"Prajwal Devaraj, Tarun Chandra, Kirat Bhattal",2007,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_2007,,,,Mano Murthy,
Aa Dinagalu,K. M. Chaitanya,"Chetan Kumar, Archana, Sharath Lohitashwa",2007,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_2007,,,,Illayaraja,
Yuga,Chandra,"Duniya Vijay, Kavya",2007,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_2007,,,,Arjun Janya,
Snehanjali,"Girish Kamplapur, R. G. Siddaramu",Dhruva,2007,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_2007,,,,Rajesh Ramanath,
Ganesha,Dinesh Baboo,"Jaggesh, Ananth Nag, Vanitha Vasu, Vanishree",2007,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_2007,,,,Manikanth Kadri,
Chanda,S. Narayan,"Duniya Vijay, Shubha Poonja",2007,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_2007,,,,S. Narayan,
Orata I Love You,Shree,"Prashanth, Sowmya",2007,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_2007,,,,G. R. Shankar,
Hetthare Hennane Herabeku,Om Sai Prakash,"S. P. Balasubrahmanyam, Lakshmi, Umashree, Rekha",2007,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_2007,,,,Mano Murthy,
Gunavantha,Raghuvardhana,"Prem, Rekha",2007,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_2007,,,,Hamsalekha,
Right Adare,Sharavana,"Mohan, Sunil, Satya, Bhavya, Sangeetha Shetty, Preethi, Priyanka",2007,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_2007,,,,A. M. Neel,
Operation Ankusha,H. Vasudev Rao,"Jayanthi, Ashok Rao, Chethan",2007,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_2007,,,,V. Manohar,
Lava Kusha,Sai Prakash,"Shiva Rajkumar, Upendra, Jennifer Kotwal, Charmy Kaur",2007,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_2007,,,,Gurukiran,
Appacchi,Kashinath,Kashinath,2007,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_2007,,,,Anamika,
Naanu Neenu Jodi,N. R. Nanjunde Gowda,"Vijay Raghavendra, Madhumitha",2007,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_2007,,,,Hamsalekha,
Ee Bandhana,Vijayalakshmi Singh,"Vishnuvardhan, Darshan, Jayapradha, Jennifer Kotwal, Ananth Nag, Tara",2007,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_2007,,,,Mano Murthy,
Ee Preethi Yeke Bhoomi Melide,Prem,"Prem, Namratha, Rohini",2007,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_2007,,,,R. P. Patnaik,
Gaja,K. Madhesh,"Darshan, Navya Nair",2008,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_2008,,,,V. Harikrishna,
Gaalipata,Yogaraj Bhat,"Ganesh, Daisy Bopanna, Rajesh Krishnan, Bhavana Rao, Diganth, Neethu, Ananth Nag",2008,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_2008,,,,V. Harikrishna,
Honganasu,Ratnaja,"Prem Kumar, Anuradha Mehta, Anjali, Ananth Nag",2008,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_2008,,,,Hamsalekha,
Singapuradali Shambulinga,B. R. Keshav,"Chidananda, Jahangir",2008,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_2008,,,,M. S. Maruthi,
Beladingalagi Baa,M. S. Ramesh,"Chandrashekhara Kambara, Vijay Raghavendra, Ramnitu Chaudari, Rangayana Raghu",2008,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_2008,,,,Gurukiran,
Navashakti Vaibava,Om Sai Prakash,"Shruthi, Radhika, Ramkumar",2008,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_2008,,,,Hamsalekha,
Hani Hani,Sharan,"Tarun Chandra, Pooja Gandhi",2008,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_2008,,,,S. Chinna,
Avva,Kavita Lankesh,"Shruthi, Duniya Vijay, Smitha",2008,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_2008,,,,Isaac Thomas Kottukapally,
Bindaas,D. Rajendra Babu,"Puneeth Rajkumar, Hansika Motwani",2008,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_2008,,,,Gurukiran,
Yuga Yugagale Saagali,Shashank Raj,"Yashas Surya, Megha Ghosh, Alisha, Ananth Nag",2008,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_2008,,,,Hamsalekha,
Hogi Baa Magale,U. H. Rajanna,"Athin, Deepa Chari",2008,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_2008,,,,L. N. Shastri,
Inthi Ninna Preethiya,Duniya Soori,"Srinagar Kitty, Sonu, Bhavana",2008,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_2008,,,,Sadhu Kokila,
Shivani,Vishal Raj,"Suraj, Shivani",2008,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_2008,,,,Jamesh Sakaleshpur,
Marujanma,A. R. Babu,"Naga Kiran, Priyanka, Dimple Chopade",2008,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_2008,,,,Sri Murali,
Manasugula Mathu Madhura,Manju Maskal Matti,"Anand, Hariprriya",2008,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_2008,,,,K. Kalyan,
Varasdhaara,Guru Deshpande,"Sandeep, Ashwini, Sanjjana, Ravi Belagere",2008,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_2008,,,,Rajesh Ramanath,
Nanda Loves Nanditha,B. N. Vijayakumar,"Yogesh, Shwetha",2008,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_2008,,,,Emil Mohammed,
Gooli,P. N. Sathya,"Sudeep, Mamta Mohandas",2008,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_2008,,,,Anoop Seelin,
Ondu Koleya Sutha,Om Prakash Nayak,Om Prakash Nayak,2008,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_2008,,,,,
Satya In Love,Raghava Loki,"Shiva Rajkumar, Genelia, Komal Kumar",2008,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_2008,,,,Gurukiran,
Accident,Ramesh Aravind,"Ramesh Aravind, Pooja Gandhi, Mohan Shankar, Rekha, Thilak, Pathi Iyer",2008,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_2008,,,,Ricky Kej,
Happy New Year 00:45PM,Gunakumar Patnayak,"Vikram, Harshitha, Chandru, Kamal",2008,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_2008,,,,A. T. Raveesh,
Chili Pili Hakkigalu,Kodlu Ramakrishna,"Girish Karnad, Diganth",2008,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_2008,,,,V. Manohar,
Mr. Garagasa,Dinesh Baboo,"Komal Kumar, Ananth Nag",2008,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_2008,,,,Manikanth Kadri,
Malenada Mallige,Hanchhilli Shivkumar,"Nitin, Daksha",2008,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_2008,,,,Maruthi,
Moggina Jade,P. R. Ramadas Naidu,"Baby Shreesha, Master Anirudh, Pavitra Lokesh, Rajesh Nataranga",2008,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_2008,,,,L. Vaidyanathan,
Satya Harischandra (color),Hunsur Krishnamurthy,"Dr. Rajkumar, Udaykumar, Pandari Bai",2008,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_2008,,,,Pendyala,
Aramane,Nagashekar,"Ganesh, Roma, Ananth Nag",2008,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_2008,,,,Gurukiran,
Gange Baare Thunge Baare,Sadhu Kokila,"Prajwal Devaraj, Gayathri, Sunaina, Sadhu Kokila",2008,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_2008,,,,Sadhu Kokila,
Jnanajyothi Sri Siddaganga,Omkar,"Sridhar, Srinivasa Murthy, Tara",2008,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_2008,,,,,
Thaayi,Baraguru Ramachandrappa,"Pramila Joshai, Sunder Raj",2008,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_2008,,,,Hamsalekha,
Baba,Trishul,"Karthick, Pragnya",2008,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_2008,,,,Arjun Janya,
Super Jodi,B. Sathyanarayana,"Ananth Nag, Chidananda, Jahangir, Dharma",2008,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_2008,,,,M. S. Maruthi,
Mussanje Maathu,Mahesh,"Sudeep, Ramya, Anu Prabhakar",2008,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_2008,,,,Sridhar V. Sambhram,
Chellatada Hudugaru,"Jyotish, Ram Chandra","Sandeep, Jyothi",2008,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_2008,,,,AT Raveesh,
Prachanda Ravana,Srinivas Prasad,"Devaraj, Bharat Bhagavathar, Sudharani",2008,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_2008,,,,Gopi Krishna,
Sundari Ganda Sadananda,V. Umakanth,"Sharan, Apoorva, Sanjana Rao, Kashi",2008,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_2008,,,,,
Athmeeya,Govindaraj,"Akul Balaji, Smitha",2008,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_2008,,,,Manoj George,
Indra,H. Vasu,"Darshan, Namitha, Sanghavi",2008,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_2008,,,,V. Harikrishna,
Bandhu Balaga,Naganna,"Shiva Rajkumar, Shashikumar, Tejaswini Prakash, Poonam Kaur",2008,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_2008,,,,Hamsalekha,
Neene Neene,Shivadwaj,"Dhyan, Aishwarya Nag",2008,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_2008,,,,Srimurali,
Darode,Uday Jadugar,"Vinod Kamat, Aishwarya Nag",2008,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_2008,,,,Hamsalekha,
Chenna,S. Umesh,Deepak,2008,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_2008,,,,Venkat Narayan,
Akasha Gange,Dinesh Baboo,"Mithun Tejaswi, Chaya Singh",2008,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_2008,,,,Deva,
Huttidare Kannada Nadali Huttabeku,Mahadev,"Ajay Rao, Master Anand, Ramakrishna, Bhavya",2008,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_2008,,,,K. M. Indra,
Kaamannana Makkalu,Chi Guru Dutt,"Sudeep, Doddanna, Rockline Venkatesh",2008,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_2008,,,,Vidyasagar,
Vasanthakala,V. Srinivas,"Hariprriya, Naga Kiran, Sharan",2008,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_2008,,,,V. Manohar,
Nee Tata Naa Birla,Nagendra Magadi,"V. Ravichandran, Jaggesh, Jennifer Kotwal, Pooja Gandhi, Keerthi Chawla, Urvashi, Nikita Thukral",2008,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_2008,,,,Gurukiran,
Meravanige,Mahesh Babu,"Prajwal Devraj, Aindrita Ray",2008,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_2008,,,,V. Manohar,
Minchina Ota,A. M. R. Ramesh,"Vijay Raghavendra, Sri Murali, Lakshmi Rai, Umashree",2008,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_2008,,,,V. Manohar / Dharma Vish (background score),
Citizen,Saiprakash,"Saikumar, Ashish Vidyarthi",2008,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_2008,,,,Srinivas,
Apaharana,B. R. Keshava,"Meghana, Dharma, Thriller Manju",2008,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_2008,,,,Maruti,
Moggina Manasu,Shashank Raj,"Shubha Poonja, Radhika Pandit, Yash, Sangeetha Shetty, Manasi",2008,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_2008,,,,Mano Murthy,
Zindagi,Mugil,"Rajeev, Kishore, Priyanka",2008,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_2008,,,,Mysore Mohan,
